disease,species,module_id,module_size,node_conservation,edge_conservation,edges_evaluated,edges_conserved,topology_conservation
PD,mouse,22,11,1.0,0.0,10,0,0.0
PD,yeast,22,11,0.45454545454545453,,0,0,0.0
PD,fly,22,11,0.36363636363636365,,0,0,0.0
COVID,mouse,0,77,0.8961038961038961,0.07575757575757576,66,5,0.5210084033613446
COVID,yeast,0,77,0.14285714285714285,,0,0,0.0
COVID,fly,0,77,0.5324675324675324,0.0,24,0,0.0
COVID,mouse,1,234,0.8461538461538461,0.0,197,0,0.0
COVID,yeast,1,234,0.46153846153846156,,0,0,0.0
COVID,fly,1,234,0.6452991452991453,,0,0,0.0
COVID,mouse,2,121,0.9173553719008265,0.00909090909090909,110,1,0.5045045045045045
COVID,yeast,2,121,0.36363636363636365,,0,0,0.0
COVID,fly,2,121,0.6611570247933884,0.02531645569620253,79,2,0.5089285714285714
COVID,mouse,3,57,0.9649122807017544,0.2222222222222222,54,12,0.6111111111111112
COVID,yeast,3,57,0.10526315789473684,,0,0,0.0
COVID,fly,3,57,0.42105263157894735,,0,0,0.0
COVID,mouse,4,9,1.0,0.0,8,0,0.5
COVID,yeast,4,9,0.3333333333333333,,0,0,0.0
COVID,fly,4,9,0.4444444444444444,,0,0,0.0
COVID,mouse,5,9,1.0,0.0,8,0,0.375
COVID,yeast,5,9,0.2222222222222222,,0,0,0.0
COVID,fly,5,9,0.4444444444444444,,0,0,0.0
COVID,mouse,6,77,0.935064935064935,0.0759493670886076,79,6,0.5283018867924528
COVID,yeast,6,77,0.18181818181818182,,0,0,0.0
COVID,fly,6,77,0.5454545454545454,,0,0,0.0
COVID,mouse,7,119,0.9747899159663865,0.0,153,0,0.0
COVID,yeast,7,119,0.24369747899159663,,0,0,0.0
COVID,fly,7,119,0.680672268907563,0.0,70,0,0.0
COVID,mouse,8,93,0.7849462365591398,0.0,6,0,0.0
COVID,yeast,8,93,0.20430107526881722,0.0,2,0,0.5
COVID,fly,8,93,0.5698924731182796,0.0,5,0,0.0
COVID,mouse,9,28,0.9285714285714286,0.0,25,0,0.0
COVID,yeast,9,28,0.10714285714285714,,0,0,0.0
COVID,fly,9,28,0.35714285714285715,,0,0,0.0
COVID,mouse,10,22,1.0,0.047619047619047616,21,1,0.5128205128205128
COVID,yeast,10,22,0.22727272727272727,,0,0,0.0
COVID,fly,10,22,0.5,,0,0,0.0
COVID,mouse,11,21,0.7619047619047619,,0,0,0.0
COVID,yeast,11,21,0.0,,0,0,0.0
COVID,fly,11,21,0.19047619047619047,,0,0,0.0
COVID,mouse,12,38,0.9210526315789473,0.0,34,0,0.0
COVID,yeast,12,38,0.10526315789473684,,0,0,0.0
COVID,fly,12,38,0.42105263157894735,0.0,15,0,0.0
COVID,mouse,13,23,0.8260869565217391,0.0,18,0,0.0
COVID,yeast,13,23,0.17391304347826086,,0,0,0.0
COVID,fly,13,23,0.4782608695652174,,0,0,0.0
COVID,mouse,14,11,1.0,0.1,10,1,0.55
COVID,yeast,14,11,0.0,,0,0,0.0
COVID,fly,14,11,0.6363636363636364,,0,0,0.0
COVID,mouse,15,33,0.9696969696969697,0.06451612903225806,31,2,0.53125
COVID,yeast,15,33,0.15151515151515152,,0,0,0.0
COVID,fly,15,33,0.6666666666666666,,0,0,0.0
COVID,mouse,16,11,0.8181818181818182,,0,0,0.0
COVID,yeast,16,11,0.18181818181818182,,0,0,0.0
COVID,fly,16,11,0.2727272727272727,,0,0,0.0
COVID,mouse,17,7,0.7142857142857143,0.0,4,0,0.0
COVID,yeast,17,7,0.0,,0,0,0.0
COVID,fly,17,7,0.0,,0,0,0.0
COVID,mouse,18,10,1.0,0.0,9,0,0.0
COVID,yeast,18,10,0.8,,0,0,0.0
COVID,fly,18,10,0.8,,0,0,0.0
